n1n[nH]cc1Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],103
n1c(cn(n1)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],56
n1c(cn(n1)c1ccc(c(c1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],51
c1(c2c(cc(c1)[N+](=O)[O-])n(nn2)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],40
c1c(cc(c2c1nnn2c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],40
c1c2c(cc3c1n(nn3)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])n(nn2)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],40
c1c2c(cc3c1n(nn3)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])nnn2c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],38
n1nn[nH]c1Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],36
c12cc(c(cc1nnn2c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],35
n1c(cn(n1)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],35
n1ccn(n1)c1c(cc(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-],31
c1nn[nH]c1[N+](=O)[O-],25
c1(c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N=[N+]=[N-],19
c1(nnn(n1)CO[N+](=O)[O-])[N+](=O)[O-],17
c1(c(c(c(c(c1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N=[N+]=[N-],17
c1cccc2c1nnn2c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],11
n1ccn(n1)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],10
c1(c(cc(cc1[N+]#N)[N+](=O)[O-])[N+](=O)[O-])[O-],9
C1(CN(CC(CN(C1)[N+](=O)[O-])(N(F)F)N(F)F)[N+](=O)[O-])(N(F)F)N(F)F,8
c1(c(c(c(c(c1[N+]#N)C)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[O-],8
c1(c(c(c(cc1[N+]#N)[N+](=O)[O-])Cl)[N+](=O)[O-])[O-],8
